Event;Date.Time;Date.Time.2;Latitude;Longitude;Latitude.2;Longitude.2;depth;Anoplogaster_cornuta;Arctozenus_risso;Argyropelecus_hemigymnus;Argyropelecus_olfersii;Astronesthes_niger;Avocettina_infans;Barbantus_curvifrons;Bathylagichthys_greyae;Bathylagus;Bathylagus_euryops;Benthosema_glaciale;Beryx_splendens;Bolinichthys_indicus;Bolinichthys_supralateralis;Borostomias_antarcticus;Ceratoscopelus_maderensis;Chauliodus_sloani;Cyclothone;Derichthys;Derichthys_serpentinus;Diaphus;Diaphus_dumerilii;Diaphus_metopoclampus;Diaphus_mollis;Dolicholagus_longirostris;Dolichopteryx_longipes;Electrona_risso;Entelurus_aequoreus;Eurypharynx_pelecanoides;Evermannella_balbo;Gadiculus_argenteus;Gonostoma_elongatum;Holtbyrnia_anomala;Holtbyrnia_macrops;Howella_atlantica;Lampadena_atlantica;Lampadena_speculigera;Lampanyctus;Lampanyctus_crocodilus;Lampanyctus_festivus;Lampanyctus_macdonaldi;Leptostomias_gladiator;Lestidiops_affinis;Lestidiops_sphyrenoides;Lobianchia_gemellarii;Lyconus_brachycolus;Macroparalepis_affinis;Magnisudis_atlantica;Malacosteus_niger;Maulisia_argipalla;Maulisia_mauli;Maulisia_microlepis;Maurolicus_muelleri;Melanolagus_bericoides;Melanonus_zugmayeri;Melanostigma_atlanticum;Melanostomias_bartonbeani;Mentodus_rostratus;Myctophidae;Myctophum_punctatum;Nannobrachium;Nannobrachium_atrum;Nansenia;Nansenia_oblita;Neonesthes_capensis;Nessorhamphus_ingolfianus;Normichthys_operosus;Notoscopelus_kroyeri;Oneirodes_anisacanthus;Oneirodes_carlsbergi;Parabrotulidae;Paralepis_coregonoides;Photostomias_guernei;Photostylus_pycnopterus;Platytroctidae;Polymetme_thaeocoryla;Poromitra_megalops;Pseudoscopelus_altipinnis;Pseudoscopelus_astronesthidens;Pseudoscopelus_pierbartus;Rhadinesthes_decimus;Rondeletia_loricata;Rouleina_attrita;Sagamichthys_schnakenbecki;Scopelengys_tristis;Scopelogadus_beanii;Searsia_koefoedi;Serrivomer_beanii;Sigmops_bathyphilus;Sternoptyx_diaphana;Stomias_boa;Taaningichthys_bathyphilus;Xenodermichthys_copei
G0344;2002-10-15T18:13:00;2002-10-15T19:11:00;44,3114;-2,393;44,3432;-2,4634;500;0;53;4;529;0;0;0;0;0;0;15;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;27;0;0;7;0;0;0;0;0;0;0;32;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346
G0349;2002-10-16T17:04:00;2002-10-16T18:04:00;44,5425;-2,3261;44,5754;-2,4045;200;0;21;2;398;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;18;0;212
G0354;2002-10-17T17:42:00;2002-10-17T18:42:00;44,7182;-2,4449;44,7211;-2,4712;2000;0;21;0;44;0;0;0;0;0;67;91;0;0;0;0;0;51;2;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;323;0;0;0;0;0;17;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;3;0;20;0;0;0;0;92;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;36;1;0;18;0;205
G0365;2002-10-19T17:56:00;2002-10-19T19:03:00;44,9651;-2,512;44,9043;-2,5743;20;0;0;0;0;0;0;0;0;0;0;381;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;17;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G0370;2002-10-20T17:39:00;2002-10-20T18:41:00;45,5283;-3,6989;45,4708;-3,6936;1000;33;13;1;36;0;0;0;0;0;0;82;0;0;0;0;9;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;6;0;0;0;0;99;0;0;0;0;0;86;0;0;0;0;7;39;0;0;0;0;1;27;NA;0;7;0;74;0;0;0;0;30;709;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;18;249;0;1;36;3;118
G0380;2002-10-23T18:34:00;2002-10-23T19:28:00;45,9662;-4,1031;45,9354;-4,1811;1000;0;33;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;34;0;4;0;0;0;0;127;0;0;0;2;0;0;0;7;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;0;182;3;133
G0399;2002-10-28T17:59:00;2002-10-28T19:01:00;46,0219;-4,3083;45,9821;-4,3667;1400;33;20;0;29;0;0;0;0;0;11;68;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;112;0;6;0;0;0;47;0;3;0;0;7;0;0;1;0;0;0;27;0;0;24;0;40;0;0;0;0;569;32;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;163;0;110
H0400;2003-10-20T18:00:00;2003-10-20T19:00:00;45,8097;-3,7867;45,7753;-3,7569;200;0;12;0;44;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;67;0;0;0;0;0;0;31;0;0;0;0;0;0;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;1369
H0411;2003-10-22T18:00:00;2003-10-22T19:00:00;46,6586;-4,9115;46,6046;-4,945;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0;0;0;0;336;0;0;0;0;0;0;0;0;0;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;511
H0419;2003-10-24T18:00:00;2003-10-24T19:00:00;45,371;-3,6786;45,301;-3,6926;500;0;227;6;79;0;0;0;0;0;0;10;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;72;0;251
