Nom_Scientifique;abundance;biomasse
Avocettina infans;1;0.05
Bathylagus;3;2.6
Bolinichthys indicus;2;0
Derichthys;1;0.05
Diaphus;1;0
Diaphus dumerilii;1;0
Diaphus mollis;1;0
Dolichopteryx longipes;1;NA
Electrona risso;2;NA
Gadiculus argenteus;3;NA
Lampadena atlantica;2;0.15
Lampadena speculigera;1;0
Lampanyctus;1;0.01
Lampanyctus festivus;1;0.01
Leptostomias gladiator;1;0.2
Lyconus brachycolus;1;NA
Magnisudis atlantica;1;0.08
Melanolagus bericoides;1;0.01
Nannobrachium;1;0.01
Nansenia oblita;1;0.01
Neonesthes capensis;1;NA
Oneirodes anisacanthus;1;0
Oneirodes carlsbergi;1;0
Parabrotulidae;2;NA
Photostomias guernei;1;NA
Polymetme thaeocoryla;1;0
Poromitra megalops;1;NA
Pseudoscopelus astronesthidens;3;0.09
Rondeletia loricata;1;0.01
Sternoptyx diaphana;1;0
Astronesthes niger;1;0.04
Barbantus curvifrons;2;0.01
Bathylagichthys greyae;7;NA
Beryx splendens;1;0.17
Lampadena urophaos;2;0
Lestidiops affinis;4;0.01
Melanonus zugmayeri;2;0.08
Mentodus rostratus;4;NA
Nessorhamphus ingolfianus;2;0.1
Pseudoscopelus pierbartus;2;0.17
Rhadinesthes decimus;2;0
Rouleina attrita;2;NA
Scopelengys tristis;2;0
Scopelogadus beanii;3;0.04
Anoplogaster cornuta;3;0.1
Dolicholagus longirostris;3;0.08
Entelurus aequoreus;5;0.01
Holtbyrnia anomala;12;0.21
Howella atlantica;3;0.05
Lestidiops sphyrenoides;18;0.11
Pseudoscopelus altipinnis;1;0.06
Bolinichthys supralateralis;12;0.19
Evermannella balbo;7;0.39
Maulisia microlepis;10;0.99
Eurypharynx pelecanoides;20;0.3
Malacosteus niger;9;0.25
Photostylus pycnopterus;7;0.03
Bathylagus euryops;173;0.07
Cyclothone braueri;26;0.01
Diaphus metopoclampus;6;0.02
Gonostoma elongatum;6;0.34
Nansenia;9;0.07
Lampanyctus macdonaldi;76;1.43
Maulisia argipalla;13;0.19
Myctophidae;107;0.06
Platytroctidae;47;0.05
Sigmops bathyphilus;70;0.23
Taaningichthys bathyphilus;11;0.04
Maulisia mauli;19;1.39
Chauliodus sloani;18;0.97
Derichthys serpentinus;10;0.15
Melanostomias bartonbeani;10;0.41
Normichthys operosus;384;5.23
Paralepis coregonoides;38;0.06
Sagamichthys schnakenbecki;19;0.12
Holtbyrnia macrops;38;0.11
Borostomias antarcticus;32;0.49
Lobianchia gemellarii;115;0.71
Cyclothone;2114;1.1
Macroparalepis affinis;38;0.06
Cyclothone microdon;423;0.58
Searsia koefoedi;89;1.77
Melanostigma atlanticum;197;0.18
Nannobrachium atrum;218;1.9
Argyropelecus hemigymnus;174;0.12
Serrivomer beanii;180;7.18
Maurolicus muelleri;7880;2.59
Lampanyctus crocodilus;2764;22.74
Arctozenus risso;1239;6.46
Argyropelecus olfersii;737;5.77
Ceratoscopelus maderensis;1598;3.81
Xenodermichthys copei;2506;21.58
Stomias boa boa;382;8.23
Myctophum punctatum;1132;4.18
Benthosema glaciale;5949;5.27
Notoscopelus kroyeri;1242;7.08
