years;Code_Station;Aphanopus carbo;Arctozenus risso;Argyropelecus hemigymnus;Argyropelecus olfersii;Bathylagichthys greyae;Bathylagus euryops;Benthosema glaciale;Bolinichthys supralateralis;Borostomias antarcticus;Ceratoscopelus maderensis;Chauliodus sloani;Cyclothone;Derichthys serpentinus;Diaphus metopoclampus;Dolicholagus longirostris;Entelurus aequoreus;Eurypharynx pelecanoides;Evermannella balbo;Gonostoma elongatum;Holtbyrnia anomala;Holtbyrnia macrops;Lampanyctus crocodilus;Lampanyctus macdonaldi;Lestidiops sphyrenoides;Lobianchia gemellarii;Macroparalepis affinis;Malacosteus niger;Maulisia argipalla;Maulisia mauli;Maulisia microlepis;Maurolicus muelleri;Melanostigma atlanticum;Melanostomias bartonbeani;Mentodus rostratus;Myctophum punctatum;Nannobrachium atrum;Normichthys operosus;Notoscopelus bolini;Notoscopelus kroyeri;Paralepis coregonoides;Photostylus pycnopterus;Sagamichthys schnakenbecki;Searsia koefoedi;Serrivomer beanii;Sigmops bathyphilus;Stomias boa boa;Taaningichthys bathyphilus;Xenodermichthys copei
2002;G0344;0;13;6;73;0;0;17;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;2;0;0;0;20;1;0;0;0;0;0;0;0;44
2002;G0349;0;5;3;55;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;11;0;0;0;0;1;0;1;0;27
2002;G0354;0;5;0;6;0;6;105;0;0;0;1;4;0;1;0;0;1;0;0;0;0;46;0;0;4;0;0;0;0;0;2;0;0;3;1;3;9;0;22;0;0;0;1;1;2;1;0;26
2002;G0365;0;0;0;0;0;0;441;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;5;0;0;0;7;0;0;0;0;0;0;0;0;0
2002;G0370;0;3;1;5;0;0;95;0;0;4;0;7;0;0;0;0;0;0;1;0;1;14;0;0;20;0;0;1;3;0;0;1;1;1;2;11;3;0;15;0;0;1;1;7;0;2;1;15
2002;G0380;0;8;0;0;0;0;55;0;0;0;0;15;0;0;0;0;0;0;0;0;0;31;0;0;8;3;0;0;0;2;0;2;0;0;2;0;0;0;29;0;0;0;0;7;0;10;1;17
2002;G0399;0;5;0;4;0;1;79;0;0;1;0;2;0;0;0;0;0;0;0;0;1;16;2;0;11;2;0;1;0;0;1;0;1;0;7;6;56;0;20;0;1;0;0;2;0;9;0;14
2003;H0400;0;3;0;6;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;204;0;0;0;9;0;0;0;45;0;0;0;0;0;0;1;0;174
2003;H0411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;63;0;0;0;0;0;0;0;0;65
2003;H0419;0;55;10;11;0;0;11;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;4;0;0;0;0;0;0;0;0;14;0;0;0;7;0;0;0;0;0;0;4;0;32
2003;H0425;0;5;66;115;0;0;4;0;0;2;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0;0;8;0;0;0;0;0;0;2;0;9
2003;H0431;0;41;19;21;0;0;5;0;0;1;0;3;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;4;0;45
2003;H0467;0;0;0;11;0;0;40;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;1;0;0;33;0;0;0;0;0;0;0;0;6
2007;L0731;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;L0736;0;0;0;0;0;0;40;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2007;L0742;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;3;0;0
2007;L0747;2;14;0;22;6;47;233;0;3;123;2;27;0;0;0;0;11;0;0;10;0;78;22;0;4;0;4;1;3;1;0;1;0;0;11;48;110;0;27;1;3;0;3;14;30;14;0;34
2007;L0752;0;1;0;24;1;0;9;0;0;605;0;0;0;0;0;0;0;0;0;0;0;16;0;0;30;0;0;0;0;0;0;0;0;0;34;3;0;0;2;0;0;1;0;0;0;4;0;90
2007;L0761;0;32;1;8;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;0;0;232;0;0;0;0;0;0;0;0;70;0;0;0;4;0;0;0;50;0;0;0;0;0;0;25;0;104
2007;L0766;0;0;0;0;0;0;40;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;4;0;0
2008;M0855;0;46;3;28;0;0;4;0;0;5;0;0;1;0;0;0;0;0;0;0;0;24;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;14;0;0;0;0;1;0;12;0;80
2008;M0862;0;11;2;7;0;0;25;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;13;0;0;0;0;0;0;18;0;80
2008;M0876;0;0;0;0;0;0;1;0;0;34;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;197;0;0;0;12;0;0;0;0;0;0;2;0;0
2008;M0881;0;49;0;40;0;0;3;0;0;52;0;0;0;0;0;1;0;0;0;0;1;113;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;56;0;0;0;0;0;0;16;0;100
2008;M0887;0;1;1;1;0;0;16;0;0;3;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;4;0;0;1;0;0;0;6;0;4
2008;M0892;0;36;1;2;0;0;1;0;0;9;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;49;0;0;0;15;0;0;0;0;0;0;9;0;62
2010;O0959;0;16;5;1;0;0;50;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2;1;0;0;27;0;0;0;0;0;0;1;0;13
2010;O0964;0;37;4;15;0;0;101;0;0;116;0;70;0;1;0;0;0;0;1;0;0;129;0;0;2;1;0;0;0;0;25;6;0;0;21;0;0;0;12;0;0;0;3;3;0;19;0;16
2010;O0969;0;1;2;1;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;11;0;0;0;16;0;0;0;0;0;0;3;0;0
2010;O0978;0;20;8;12;0;35;612;0;11;32;0;160;1;0;0;0;0;0;0;1;0;45;9;0;1;0;2;0;1;1;6;1;0;0;25;10;11;0;6;0;1;0;0;9;10;11;1;5
