;eye_size;orbital_length;gill_outflow;oral_gape_surface;oral_gape_shape;oral_gape_position;lower_jaw_length;head_length;body_depth;pectoral_fin_position;pectoral_fin_insertion;transversal_shape;caudal_throttle_width;dorsal_fin_insertion;eye_position;operculum_volume;ventral_photophores;gland_head;chin_barbel;small_teeth;large_teeth;fang_teeth;retractable_teeth;internal_teeth;gill_raker_types;oral_gape_axis
Anoplogaster_cornuta;0.187063542756938;0.065131015633362;20.92;4142.26988090702;0.519282711781836;0.395142684083309;0.286137531701291;0.347117956949223;0.496765317595603;0.327552178795381;0.400320899636818;0.0371234059465991;10.4566666666667;0.444149875267832;0.717693542565094;1.91753487412749;A;A;A;A;P;P;A;P;C;1
Arctozenus_risso;0.674993856109441;0.0394964047196837;5.505;135.29317772556;2.67797909396953;0.695616127556791;0.119906628906891;0.228262244582038;0.0723148674809628;0.282421252221531;0.235820202740465;0.0143587074602806;3.63966666666667;0.667899583596402;0.607328380517097;1.29723149287578;A;A;A;P;A;A;A;P;B;3
Argyropelecus_hemigymnus;0.252837892433722;0.110352152611072;5.56647058823529;608.166984266963;1.28909356470462;0.540427628903707;0.251437336407706;0.30344238901857;0.546567636674359;0.230745128437097;0.277935203278892;0.254901522317756;3.42588235294118;0.355846954340469;0.837867799817362;2.07238522971517;P;A;A;P;A;A;A;A;C;1
Argyropelecus_olfersii;0.246618581629263;0.119533746322956;17.1448648648649;3042.32243432025;0.992515372753807;0.716113788858436;0.266959472951216;0.308301242626706;0.65277115148282;0.247171043645657;0.258959248966547;0.123626610974093;5.97540540540541;0.337485836432952;0.789938369030696;1.20065478164756;P;A;A;P;A;A;A;A;C;1
Bathylagus_euryops;0.807337915651591;0.0982873543403705;8.53631578947368;215.674453282066;1.20842998774311;0.350251837143204;0.0755926047121957;0.222707109984223;0.178525331071884;0.198758473057241;0.260002467475931;0.0325643000988937;6.30157894736842;0.466621652268915;0.675941866688634;1.12431272623524;A;A;A;P;A;A;A;P;C;2
Benthosema_glaciale;0.553876225297698;0.0970800284062025;4.7555;288.095211908259;1.15772327640739;0.332402560558336;0.18846183567949;0.257732909840549;0.227186906305348;0.442726630296401;0.299960228128622;0.0910979164334712;3.3485;0.467615039898486;0.52169659214019;1.61559178998996;P;A;A;P;A;A;A;P;B;3
Bolinichthys_supralateralis;0.694354295956812;0.100202078410754;12.4727272727273;857.141772877457;1.14530863194495;0.338028955604033;0.19638076001865;0.294944428248546;0.23575289155312;0.460559004310466;0.328327907411403;0.0198885795886789;10.7972727272727;0.446976959075606;0.591284446813419;1.26654746508696;P;A;A;A;A;A;A;P;C;2
Borostomias_antarcticus;0.391850290261146;0.0454502028499367;15.7964285714286;2308.80385578834;0.954938945217716;0.482699370344764;0.198414842989372;0.221951661234263;0.147157927608838;0.175432840958332;0.2369008386437;0.0363191667472641;5.52714285714286;0.585910376230437;0.640621860262834;0.900142653326323;P;A;P;P;P;P;A;P;C;2
Ceratoscopelus_maderensis;0.61660846298933;0.094562994808395;5.523;290.556533579314;2.01228781044493;0.559539577835283;0.212406330756783;0.310683128797261;0.195705737856235;0.477198861817392;0.341365528992295;0.0314179790498654;5.45533333333333;0.497936237693233;0.59681531435385;1.8635844813931;P;A;A;P;A;A;A;P;C;3
Chauliodus_sloani;0.323621627844137;0.0319594440421785;11.22;1427.55696125995;2.19867122274505;0.706862731279458;0.114411464387146;0.135312237003664;0.113978883995137;0.289631998528789;0.15251090919044;0.0152579305644787;6.19416666666667;0.255165045693795;0.760891434876478;1.96021918374555;P;P;A;A;P;P;A;A;A;1
