species;d13C;d15N
Anoplogaster_cornuta;-21,75633459;12,41591216
Anoplogaster_cornuta;-20,26894682;12,7016215
Anoplogaster_cornuta;-18,7157451;10,96632946
Arctozenus_risso;-20,14;11,62
Arctozenus_risso;-20,14;11,5
Arctozenus_risso;-20,03;10,84
Arctozenus_risso;-20,23;10,41
Arctozenus_risso;-19,98;11
Arctozenus_risso;-20,14;10,35
Arctozenus_risso;-19,97;10,44
Arctozenus_risso;-20,25;10,28
Arctozenus_risso;-20,16;10,06
Arctozenus_risso;-20,11;11,09
Arctozenus_risso;-20,41;10,35
Arctozenus_risso;-20,04;10,38
Arctozenus_risso;-20,59;9,81
Arctozenus_risso;-20,17;10,52
Arctozenus_risso;-20,35;10,32
Arctozenus_risso;-20,3;10,74
Arctozenus_risso;-20,29;10,46
Arctozenus_risso;-20,33;10,28
Arctozenus_risso;-20,14;10,26
Arctozenus_risso;-20,39;10,65
Arctozenus_risso;-20,95;10,25
Arctozenus_risso;-20,38;10,28
Arctozenus_risso;-20,08;10,64
Arctozenus_risso;-20,62;10,33
Arctozenus_risso;-20,26;10,61
Arctozenus_risso;-20,44;10,48
Arctozenus_risso;-20,97;10,36
Arctozenus_risso;-19,51;10,18
Arctozenus_risso;-20,63;10,66
Arctozenus_risso;-20,66;10,49
Arctozenus_risso;-19,92;10,82
Arctozenus_risso;-20,27;10,49
Arctozenus_risso;-20,34;10,4
Arctozenus_risso;-20,02;10,46
Arctozenus_risso;-20,85;10,37
Arctozenus_risso;-20,85;10,36
Arctozenus_risso;-20,11;10,9
Arctozenus_risso;-19,84;10,99
Arctozenus_risso;-19,96;10,63
Arctozenus_risso;-21,26;10,32
Arctozenus_risso;-19,85;10,07
Arctozenus_risso;-20,24;10,33
Arctozenus_risso;-20,77;10,79
Argyropelecus_hemigymnus;-19,27217534;10,49582571
Argyropelecus_olfersii;-19,89;9,89
Argyropelecus_olfersii;-20;9,84
Argyropelecus_olfersii;-20,39;9,55
Argyropelecus_olfersii;-19,84;10,02
Argyropelecus_olfersii;-19,91;9,06
Argyropelecus_olfersii;-19,87;10
Argyropelecus_olfersii;-19,5;10,43
Argyropelecus_olfersii;-19,92;10,61
Argyropelecus_olfersii;-20,05;10,01
Argyropelecus_olfersii;-19,74;10,19
Argyropelecus_olfersii;-19,76;10,15
Argyropelecus_olfersii;-19,51;10,38
Argyropelecus_olfersii;-19,85;10,46
Argyropelecus_olfersii;-19,68;10,66
Argyropelecus_olfersii;-19,7;10,4
Argyropelecus_olfersii;-19,7;10,64
Argyropelecus_olfersii;-19,88;9,67
Argyropelecus_olfersii;-20,01;10,52
Argyropelecus_olfersii;-19,68;9,8
Argyropelecus_olfersii;-19,98;9,36
Argyropelecus_olfersii;-19,55;10,52
Argyropelecus_olfersii;-19,64;10,01
Argyropelecus_olfersii;-19,74;10,8
Argyropelecus_olfersii;-19,88;10,53
Argyropelecus_olfersii;-19,87;9,86
Argyropelecus_olfersii;-19,9;10,02
Argyropelecus_olfersii;-19,28;10,01
Argyropelecus_olfersii;-19,94;10,67
Argyropelecus_olfersii;-19,8;10,14
Argyropelecus_olfersii;-20,09;9,25
Argyropelecus_olfersii;-19,78;10,43
Argyropelecus_olfersii;-19,22;8,15
Argyropelecus_olfersii;-19,74;10,23
Argyropelecus_olfersii;-19,35;10
Argyropelecus_olfersii;-19,52;9,99
Argyropelecus_olfersii;-19,38;9,97
Argyropelecus_olfersii;-19,85;10,39
Argyropelecus_olfersii;-19,36;10,5
Argyropelecus_olfersii;-19,81;9,9
Argyropelecus_olfersii;-19,64;10,79
Argyropelecus_olfersii;-19,77;10,75
Argyropelecus_olfersii;-19,63;10,78
Bathylagus_euryops;-18,59656647;10,46080689
Bathylagus_euryops;-18,45686011;11,13640284
Bathylagus_euryops;-18,76202545;11,51693205
Bathylagus_euryops;-18,21568953;11,44487694
Bathylagus_euryops;-18,17042327;11,68643911
Bathylagus_euryops;-18,0492498;11,86427549
Benthosema_glaciale;-19,91;8,82
Benthosema_glaciale;-19,13;9,39
Benthosema_glaciale;-19,3;10,19
Benthosema_glaciale;-19,46;9,38
Benthosema_glaciale;-19,48;8,97
Benthosema_glaciale;-20,24;11,07
Benthosema_glaciale;-19,64;9,06
Benthosema_glaciale;-19,88;9,67
Benthosema_glaciale;-20,26;10,21
Benthosema_glaciale;-19,98;9,61
Benthosema_glaciale;-20,31;9,39
Benthosema_glaciale;-20,44;10,32
Benthosema_glaciale;-20,43;9,68
Benthosema_glaciale;-20,7;10,35
Benthosema_glaciale;-20,99;10,66
Benthosema_glaciale;-20,61;10,37
Benthosema_glaciale;-20,73;10,97
Benthosema_glaciale;-20,81;9,84
Benthosema_glaciale;-21,22;9,91
Benthosema_glaciale;-22,12;10,3
Bolinichthys_supralateralis;-19,34274379;11,70272389
Bolinichthys_supralateralis;-20,26322006;12,55202686
Bolinichthys_supralateralis;-18,74337696;11,96676777
Bolinichthys_supralateralis;-19,36962285;12,48054894
Bolinichthys_supralateralis;-19,03584996;11,74849843
Bolinichthys_supralateralis;-19,07562552;11,73910122
Bolinichthys_supralateralis;-19,04283169;11,51208519
Bolinichthys_supralateralis;-19,26694096;11,92214423
Bolinichthys_supralateralis;-19,1383977;10,81416365
Bolinichthys_supralateralis;-19,16038127;12,18735968
Bolinichthys_supralateralis;-19,50765367;13,02985969
Borostomias_antarcticus;-18,22481769;12,12534177
Borostomias_antarcticus;-18,88372122;10,95451373
Borostomias_antarcticus;-18,54798674;11,18258482
Borostomias_antarcticus;-18,96597033;10,15142091
Borostomias_antarcticus;-18,99194879;10,32200106
Borostomias_antarcticus;-18,81510015;10,89960794
Borostomias_antarcticus;-18,87324234;10,76786397
Borostomias_antarcticus;-18,94622567;9,544897194
Borostomias_antarcticus;-18,39253077;11,16904423
Borostomias_antarcticus;-18,49874239;10,90808432
Borostomias_antarcticus;-20,64765507;12,59934004
Borostomias_antarcticus;-18,57590684;11,80556004
Borostomias_antarcticus;-18,90088474;10,08608165
Borostomias_antarcticus;-21,053364;12,90755594
Chauliodus_sloani;-19,90744322;10,0343352
Chauliodus_sloani;-19,69031501;10,84239953
Chauliodus_sloani;-18,73727582;11,08048728
Chauliodus_sloani;-19,85728032;9,253650649
Chauliodus_sloani;-20,93561571;11,5123748
Chauliodus_sloani;-19,18746921;10,2119333
Chauliodus_sloani;-18,89257347;11,05990687
Chauliodus_sloani;-19,09889681;11,79024166
Chauliodus_sloani;-18,65461369;11,55698088
Chauliodus_sloani;-19,0384846;9,790513253
Cyclothone_sp;-19,71;10,69
Cyclothone_sp;-19,66;10,71
Cyclothone_sp;-19,68;11,43
Cyclothone_sp;-19,55;10,09
Cyclothone_sp;-19,8;11,23
Cyclothone_sp;-19,81;11,36
Cyclothone_sp;-20,19;11,04
Cyclothone_sp;-20,07;10,62
Cyclothone_sp;-20,02;10,63
Cyclothone_sp;-19,72;11,4
Cyclothone_sp;-20,16;11,44
Cyclothone_sp;-19,98;12
Cyclothone_sp;-20,05;11,8
Cyclothone_sp;-20,41;11,17
Cyclothone_sp;-20,1;11,27
Cyclothone_sp;-20,48;10,82
Cyclothone_sp;-20,22;10,03
Cyclothone_sp;-20,64;10,96
Cyclothone_sp;-20,56;10,86
Cyclothone_sp;-21,64;10,07
Derichthys_serpentinus;-22,53617538;10,04502128
Derichthys_serpentinus;-22,22254365;11,17244377
Derichthys_serpentinus;-22,40066647;10,26309318
Derichthys_serpentinus;-22,36641052;9,783813126
Derichthys_serpentinus;-23,00614726;9,867533975
Derichthys_serpentinus;-22,33797408;10,98255963
Derichthys_serpentinus;-22,28755259;10,14260624
Diaphus_metopoclampus;-20,8565775;11,63663289
Diaphus_metopoclampus;-20,23103789;10,49903642
Diaphus_metopoclampus;-19,91815303;11,53661653
Diaphus_metopoclampus;-19,94340105;11,18570821
Evermannella_balbo;NA;10,57138962
Evermannella_balbo;-19,67362523;9,808596251
Evermannella_balbo;-19,55361446;9,976552045
Evermannella_balbo;-19,71542791;9,891915295
Gonostoma_elongatum;-21,85460312;10,86165772
Gonostoma_elongatum;-21,88321539;10,63070736
Gonostoma_elongatum;-21,55157011;10,37368584
Holtbyrnia_macrops;-19,01288879;10,92538363
Holtbyrnia_macrops;-19,48050569;10,86591904
Holtbyrnia_macrops;-19,37428072;11,10944623
Holtbyrnia_macrops;-19,4550726;11,11189119
Holtbyrnia_macrops;-19,61557097;10,78146323
Holtbyrnia_macrops;-19,50953478;11,53975012
Lampanyctus_crocodilus;-20;9,84
Lampanyctus_crocodilus;-19,86;9,85
Lampanyctus_crocodilus;-19,85;10,1
Lampanyctus_crocodilus;-20,13;9,62
Lampanyctus_crocodilus;-19,85;10,53
Lampanyctus_crocodilus;-19,82;10,74
Lampanyctus_crocodilus;-20,2;8,75
Lampanyctus_crocodilus;-20,21;10,25
Lampanyctus_crocodilus;-20,04;9,18
Lampanyctus_crocodilus;-20,04;9,7
Lampanyctus_crocodilus;-20,01;10,18
Lampanyctus_crocodilus;-20,06;9,64
Lampanyctus_crocodilus;-20,16;8,79
Lampanyctus_crocodilus;-20,04;10,11
Lampanyctus_crocodilus;-20,02;9,19
Lampanyctus_crocodilus;-19,96;9,17
Lampanyctus_crocodilus;-19,96;10,33
Lampanyctus_crocodilus;-20,21;9,31
Lampanyctus_crocodilus;-20,08;9,96
Lampanyctus_crocodilus;-20,09;9,66
Lampanyctus_crocodilus;-19,85;9,45
Lampanyctus_crocodilus;-20,2;9,22
Lampanyctus_crocodilus;-20,01;9,08
Lampanyctus_crocodilus;-19,82;11,03
Lampanyctus_crocodilus;-20,04;11,17
Lampanyctus_crocodilus;-20,1;9,86
Lampanyctus_crocodilus;-20,03;10,23
Lampanyctus_crocodilus;-19,97;10,16
Lampanyctus_crocodilus;-20,18;10,18
Lampanyctus_crocodilus;-20,26;9,29
Lampanyctus_crocodilus;-20,57;9,75
Lampanyctus_crocodilus;-19,91;9,41
Lampanyctus_crocodilus;-20,03;9,49
Lampanyctus_crocodilus;-20,05;9,01
Lampanyctus_crocodilus;-19,78;10,9
Lampanyctus_crocodilus;-20,06;9,47
Lampanyctus_crocodilus;-19,97;10,89
Lampanyctus_crocodilus;-19,88;10,76
Lampanyctus_crocodilus;-19,97;10,58
Lampanyctus_crocodilus;-19,84;8,91
Lampanyctus_crocodilus;-19,86;11,18
Lampanyctus_crocodilus;-19,67;11,25
Lampanyctus_crocodilus;-19,71;10,35
Lampanyctus_crocodilus;-19,62;10,28
Lampanyctus_crocodilus;-19,99;10,53
Lampanyctus_crocodilus;-19,71;11,22
Lampanyctus_crocodilus;-19,62;10,71
Lampanyctus_crocodilus;-19,7;10,05
Lampanyctus_crocodilus;-19,54;10,97
Lampanyctus_crocodilus;-19,92;10,92
Lampanyctus_crocodilus;-19,83;9,26
Lampanyctus_crocodilus;-19,69;9,84
Lampanyctus_crocodilus;-19,25;10,97
Lampanyctus_crocodilus;-19,56;10,21
Lampanyctus_crocodilus;-20,08;10,28
Lampanyctus_crocodilus;-19,86;10,79
Lampanyctus_crocodilus;-19,73;10,26
Lampanyctus_crocodilus;-20,05;10,84
Lampanyctus_crocodilus;-19,27;10,47
Lampanyctus_crocodilus;-19,57;10,71
Lampanyctus_crocodilus;-19,25;10,55
Lampanyctus_crocodilus;-19,29;10,97
Lampanyctus_crocodilus;-19,35;10,89
Lampanyctus_crocodilus;-19,84;10,63
Lampanyctus_crocodilus;-20,11;10,31
Lampanyctus_crocodilus;-19,22;11,41
Lampanyctus_crocodilus;-19,09;10,44
Lampanyctus_crocodilus;-19,42;10,8
Lampanyctus_crocodilus;-19,51;11,23
Lampanyctus_crocodilus;-19,98;10,45
Lampanyctus_crocodilus;-19,73;10,56
Lampanyctus_crocodilus;-19,32;10,93
Lampanyctus_crocodilus;-19,5;10,49
Lampanyctus_crocodilus;-19,23;10,82
Lampanyctus_crocodilus;-19,43;10,57
Lampanyctus_crocodilus;-19,68;10,45
Lampanyctus_crocodilus;-19,27;10,91
Lampanyctus_crocodilus;-19,58;10,16
Lampanyctus_crocodilus;-19,15;10,55
Lampanyctus_crocodilus;-19,3;10,9
Lampanyctus_crocodilus;-18,87;11,18
Lampanyctus_crocodilus;-19,63;10,34
Lampanyctus_crocodilus;-19,53;10,78
Lampanyctus_crocodilus;-18,86;11,56
Lampanyctus_crocodilus;-19,04;10,72
Lampanyctus_crocodilus;-18,97;11,48
