Code_Station;Aphanopus carbo;Anoplogaster cornuta;Arctozenus risso;Argyropelecus hemigymnus;Argyropelecus olfersii;Astronesthes niger;Avocettina infans;Barbantus curvifrons;Bathylagichthys greyae;Bathylagus euryops;Bathylagus;Benthosema glaciale;Beryx splendens;Bolinichthys indicus;Bolinichthys supralateralis;Borostomias antarcticus;Ceratoscopelus maderensis;Chauliodus sloani;Cyclothone;Derichthys;Derichthys serpentinus;Diaphus;Diaphus dumerilii;Diaphus metopoclampus;Diaphus mollis;Dolicholagus longirostris;Dolichopteryx longipes;Electrona risso;Entelurus aequoreus;Eurypharynx pelecanoides;Evermannella balbo;Gadiculus argenteus;Gonostoma elongatum;Holtbyrnia anomala;Holtbyrnia macrops;Howella atlantica;Lampadena atlantica;Lampadena speculigera;Lampadena urophaos;Lampanyctus;Lampanyctus crocodilus;Lampanyctus festivus;Lampanyctus macdonaldi;Leptostomias gladiator;Lestidiops affinis;Lestidiops sphyrenoides;Lobianchia gemellarii;Lyconus brachycolus;Macroparalepis affinis;Magnisudis atlantica;Malacosteus niger;Maulisia argipalla;Maulisia mauli;Maulisia microlepis;Maurolicus muelleri;Melanolagus bericoides;Melanonus zugmayeri;Melanostigma atlanticum;Melanostomias bartonbeani;Mentodus rostratus;Myctophidae;Myctophum punctatum;Nannobrachium;Nannobrachium atrum;Nansenia;Nansenia oblita;Neonesthes capensis;Nessorhamphus ingolfianus;Normichthys operosus;Notoscopelus kroyeri;Oneirodes anisacanthus;Oneirodes carlsbergi;Parabrotulidae;Paralepis coregonoides;Photostomias guernei;Photostylus pycnopterus;Platytroctidae;Polymetme thaeocoryla;Poromitra megalops;Pseudoscopelus astronesthidens;Pseudoscopelus altipinnis;Pseudoscopelus pierbartus;Rhadinesthes decimus;Rondeletia loricata;Rouleina attrita;Sagamichthys schnakenbecki;Scopelengys tristis;Scopelogadus beanii;Searsia koefoedi;Serrivomer beanii;Sigmops bathyphilus;Sternoptyx diaphana;Stomias boa boa;Taaningichthys bathyphilus;Xenodermichthys copei
G0344;0;0;13;6;73;0;0;0;0;0;0;17;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;0;0;0;0;20;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
G0349;0;0;5;3;55;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;27
G0354;0;0;5;0;6;0;0;0;0;6;0;105;0;0;0;0;0;1;4;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;3;0;1;0;3;0;0;0;0;9;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;26
G0365;0;0;0;0;0;0;0;0;0;0;0;441;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G0370;0;1;3;1;5;0;0;0;0;0;0;95;0;0;0;0;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;14;0;0;0;0;0;20;0;0;0;0;1;3;0;0;0;0;1;1;1;0;2;0;11;0;0;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;7;0;1;2;1;15
G0380;0;0;8;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;8;0;3;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;10;1;17
G0399;0;1;5;0;4;0;0;0;0;1;0;79;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;16;0;2;0;0;0;11;0;2;0;0;1;0;0;1;0;0;0;1;0;0;7;0;6;0;0;0;0;56;20;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;9;0;14
H0400;0;0;3;0;6;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;204;0;0;0;0;0;0;9;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;174
H0411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65
H0419;0;0;55;10;11;0;0;0;0;0;0;11;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;0;32
