years;station;latitude_start;longitude_start;latitude_end;longitude_end;distance_trawled_m;depth;bottom_depth;bottom_proximity;distance_isobath_200m;duration;comments
2022;A1497;44.2035;-2.2505;44.216;-2.3408;7338;486;1045.77;559.77;16760.3424784494;60;
2022;A1508;44.8563;-2.3698;44.8005;-2.4213;7424;736;2348;1612;10941.4573431569;60;
2022;A1513;45.1745;-3.3925;45.1577;-3.4592;5559;1368;3129.588;1761.588;22721.3380014747;60;
2001;F0315;44.67552;-2.14192;44.816;-2.279;;500;;;8838.83232383883;;
2001;F0367;46.04723;-4.2332;46.019;-4.404;;1000;;;13880.5743899545;;
2002;G0344;44.3114;-2.393;44.3432;-2.4634;6630;500;1232.944;732.944;25810.3508676654;58;
2002;G0349;44.5425;-2.3261;44.5754;-2.4045;7217;200;1510;1310;18683.7648536959;60;
2002;G0354;44.7182;-2.4449;44.7211;-2.4712;2105;2000;2764.875;764.875;25508.5458967007;60;
2002;G0365;44.9651;-2.512;44.9043;-2.5743;8361;20;2319.75;2299.75;10176.4642378002;67;
2002;G0370;45.5283;-3.6989;45.4708;-3.6936;6414;1000;3195.067;2195.067;21516.9303614921;62;
2002;G0380;45.9662;-4.1031;45.9354;-4.1811;6943;1000;2593.35;1593.35;12403.2337842249;54;
2002;G0399;46.0219;-4.3083;45.9821;-4.3667;6326;1400;3333.375;1933.375;20073.1987750324;62;
2003;H0400;45.8097;-3.7867;45.7753;-3.7569;4473;200;617.2222;417.2222;4411.84312777825;60;
2003;H0411;46.6586;-4.9115;46.6046;-4.945;6534;350;545.8571;195.8571;8552.51946505951;60;
2003;H0419;45.371;-3.6786;45.301;-3.6926;7869;500;3759.056;3259.056;29069.1723516973;60;
2003;H0425;43.851;-2.7818;43.917;-2.8091;7666;200;1505.826;1305.826;30636.5646368885;60;
2003;H0431;43.842;-2.7794;43.9051;-2.804;7296;500;1533.75;1033.75;29675.7706789169;60;
2003;H0467;46.3221;-5.0515;46.2783;-5.1105;6660;200;3921.867;3721.867;33335.7798912246;60;
2007;L0731;45.239;-3.6895;45.1795;-3.672;6764;100;3943.333;3843.333;39292.2134083687;60;
2007;L0736;43.7506;-2.1675;43.7016;-2.0895;8314;50;907.85;857.85;12972.649335991;61;
2007;L0742;44.3179;-2.2116;44.3788;-2.2388;7116;500;834.2667;334.2667;11325.743299813;59;
2007;L0747;44.792;-2.7226;44.8050;-2.7607;3268;1600;3198.7;1598.7;32170.7305943063;59;
2007;L0752;44.8483;-2.3445;44.8968;-2.3643;5620;300;1760.077;1460.077;9648.23431361477;59;
2007;L0761;44.942;-2.304;44.891;-2.285;5871;500;915.0714;415.0714;2573.94416260357;60;
2007;L0766;44.9993;-2.7118;45.0668;-2.7268;7606;100;1756.778;1656.778;10194.8712607868;59;
2008;M0855;44.3308;-2.2544;44.3256;-2.3441;7166;500;1203.727;703.727;14616.3750009919;60;
2008;M0862;43.7731;-2.2049;43.7345;-2.2766;7190;200;794.7778;594.7778;14760.6881295801;60;
2008;M0876;44.8091;-2.7974;44.777;-2.681;9865;20;3196.724;3176.724;32110.2257527909;54;
2008;M0881;45.0184;-2.6865;44.9596;-2.6625;6812;500;1152.933;652.933;7335.67555979195;59;
2008;M0887;45.546;-3.8802;45.5985;-3.8554;6155;1500;2572.231;1072.231;29782.1680475969;60;
2008;M0892;45.2996;-3.2935;45.263;-3.3724;7402;500;690.35;190.35;7750.99394012133;60;
2010;O0959;45.1609;-3.3646;45.1557;-3.4558;7182;300;3126.826;2826.826;21717.8746908864;60;
2010;O0964;45.0694;-3.1565;45.0104;-3.1755;6736;800;3034.4;2234.4;14963.4168180487;59;
2010;O0969;43.6949;-2.459;43.7174;-2.5438;7269;150;1691.81;1541.81;17515.6569218775;60;
2010;O0978;44.804;-2.6999;44.8296;-2.7579;5394;1600;3117.533;1517.533;30536.0929880571;60;
2010;O0983;44.8188;-2.7321;44.8518;-2.8066;6934;600;3041.789;2441.789;29437.8294027635;60;
2010;O0995;45.9366;-3.9509;45.9474;-4.0329;6460;800;1190.8;390.8;7315.83099128359;60;
2011;P1048;45.9334;-4.2679;45.9135;-4.3166;4373;1000;3587.75;2587.75;23642.7435876609;39;
2011;P1053;45.629;-3.8989;45.5779;-3.9134;5799;1500;2560.923;1060.923;23958.2567146997;60;
2011;P1062;44.5523;-2.4022;44.5015;-2.4438;6548;1000;1613.231;1513.231;24693.042490619;59;
2011;P1067;44.6430;-3.0686;44.6815;-3.1263;6218;1300;3149.867;1849.867;53985.7468625163;59;
2011;P1072;43.6705;-2.5335;43.6878;-2.4571;6445;1300;2048.65;748.65;13548.5796616729;60;
2016;U0508;45.8493;-3.8275;45.8152;-3.8796;5544;551;1711;1159.56;7810.66803220831;52;
